#Parameters = {n=0.125; Wp=7.5; Ws=15; h=0.762; phi=0; theta=0}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (Wp=7.5) [Phase in Degrees]"
#----------------------------------------------------------------
8.6480000000000	-4.7522926506077
8.6520000000000	-4.8840606053526
8.6560000000000	-5.0161343331719
8.6600000000000	-5.1485164230669
8.6640000000000	-5.2812094930900
8.6680000000000	-5.4142161907496
8.6720000000000	-5.5475391934205
8.6760000000000	-5.6811812087628
8.6800000000000	-5.8151449751462
8.6840000000000	-5.9494332620831
8.6880000000000	-6.0840488706672
8.6920000000000	-6.2189946340205
8.6960000000000	-6.3542734177477
8.7000000000000	-6.4898881203981
8.7040000000000	-6.6258416739352
8.7080000000000	-6.7621370442149
8.7120000000000	-6.8987772314707
8.7160000000000	-7.0357652708084
8.7200000000000	-7.1731042327088
8.7240000000000	-7.3107972235380
8.7280000000000	-7.4488473860687
8.7320000000000	-7.5872579000079
8.7360000000000	-7.7260319825364
8.7400000000000	-7.8651728888545
8.7440000000000	-8.0046839127406
8.7480000000000	-8.1445683871168
8.7520000000000	-8.2848296846260
8.7560000000000	-8.4254712182176
8.7600000000000	-8.5664964417458
8.7640000000000	-8.7079088505759
8.7680000000000	-8.8497119822030
8.7720000000000	-8.9919094168805
8.7760000000000	-9.1345047782612
8.7800000000000	-9.2775017340483
8.7840000000000	-9.4209039966586
8.7880000000000	-9.5647153238979
8.7920000000000	-9.7089395196484
8.7960000000000	-9.8535804345676
8.8000000000000	-9.9986419668011
8.8040000000000	-10.144128062707
8.8080000000000	-10.290042717596
8.8120000000000	-10.436389976479
8.8160000000000	-10.583173934837
8.8200000000000	-10.730398739397
8.8240000000000	-10.878068588929
8.8280000000000	-11.026187735050
8.8320000000000	-11.174760483050
8.8360000000000	-11.323791192730
8.8400000000000	-11.473284279254
8.8440000000000	-11.623244214021
8.8480000000000	-11.773675525549
8.8520000000000	-11.924582800378
8.8560000000000	-12.075970683991
8.8600000000000	-12.227843881747
8.8640000000000	-12.380207159839
8.8680000000000	-12.533065346264
8.8720000000000	-12.686423331814
8.8760000000000	-12.840286071085
8.8800000000000	-12.994658583509
8.8840000000000	-13.149545954397
8.8880000000000	-13.304953336011
8.8920000000000	-13.460885948654
8.8960000000000	-13.617349081775
8.9000000000000	-13.774348095107
8.9040000000000	-13.931888419815
8.9080000000000	-14.089975559674
8.9120000000000	-14.248615092267
8.9160000000000	-14.407812670209
8.9200000000000	-14.567574022388
8.9240000000000	-14.727904955242
8.9280000000000	-14.888811354050
8.9320000000000	-15.050299184255
8.9360000000000	-15.212374492810
8.9400000000000	-15.375043409554
8.9440000000000	-15.538312148611
8.9480000000000	-15.702187009822
8.9520000000000	-15.866674380201
8.9560000000000	-16.031780735424
8.9600000000000	-16.197512641346
8.9640000000000	-16.363876755549
8.9680000000000	-16.530879828921
8.9720000000000	-16.698528707269
8.9760000000000	-16.866830332961
8.9800000000000	-17.035791746609
8.9840000000000	-17.205420088775
8.9880000000000	-17.375722601726
8.9920000000000	-17.546706631212
8.9960000000000	-17.718379628289
9.0000000000000	-17.890749151178
9.0040000000000	-18.063822867163
9.0080000000000	-18.237608554527
9.0120000000000	-18.412114104528
9.0160000000000	-18.587347523420
9.0200000000000	-18.763316934515
9.0240000000000	-18.940030580287
9.0280000000000	-19.117496824521
9.0320000000000	-19.295724154509
9.0360000000000	-19.474721183293
9.0400000000000	-19.654496651955
9.0440000000000	-19.835059431953
9.0480000000000	-20.016418527515
9.0520000000000	-20.198583078078
9.0560000000000	-20.381562360781
9.0600000000000	-20.565365793013
9.0640000000000	-20.750002935019
9.0680000000000	-20.935483492554
9.0720000000000	-21.121817319608
9.0760000000000	-21.309014421181
9.0800000000000	-21.497084956120
9.0840000000000	-21.686039240025
9.0880000000000	-21.875887748212
9.0920000000000	-22.066641118745
9.0960000000000	-22.258310155538
9.1000000000000	-22.450905831519
9.1040000000000	-22.644439291874
9.1080000000000	-22.838921857358
9.1120000000000	-23.034365027681
9.1160000000000	-23.230780484973
9.1200000000000	-23.428180097325
9.1240000000000	-23.626575922412
9.1280000000000	-23.825980211199
9.1320000000000	-24.026405411732
9.1360000000000	-24.227864173011
9.1400000000000	-24.430369348959
9.1440000000000	-24.633934002482
9.1480000000000	-24.838571409615
9.1520000000000	-25.044295063774
9.1560000000000	-25.251118680101
9.1600000000000	-25.459056199913
9.1640000000000	-25.668121795254
9.1680000000000	-25.878329873555
9.1720000000000	-26.089695082401
9.1760000000000	-26.302232314416
9.1800000000000	-26.515956712256
9.1840000000000	-26.730883673728
9.1880000000000	-26.947028857026
9.1920000000000	-27.164408186094
9.1960000000000	-27.383037856120
9.2000000000000	-27.602934339154
9.2040000000000	-27.824114389871
9.2080000000000	-28.046595051468
9.2120000000000	-28.270393661703
9.2160000000000	-28.495527859084
9.2200000000000	-28.722015589206
9.2240000000000	-28.949875111246
9.2280000000000	-29.179125004611
9.2320000000000	-29.409784175759
9.2360000000000	-29.641871865177
9.2400000000000	-29.875407654543
9.2440000000000	-30.110411474051
9.2480000000000	-30.346903609932
9.2520000000000	-30.584904712156
9.2560000000000	-30.824435802324
9.2600000000000	-31.065518281761
9.2640000000000	-31.308173939811
9.2680000000000	-31.552424962343
