#Parameters = {Cylinder_radius=210; Pe=30; Wp=7.5; Ws=300; a=22.86; a1=47; b=10.16; b1=37; copper=0.0035; distance=230.7655; focal=210; h=0.762; lam=20; radius=0; t=0.2}
#"Theta / deg"	"Directivity,Phi=90"
#----------------------------------
-66.000000000000	-4.1771763190463
-65.000000000000	-5.5733031181769
-64.000000000000	-6.8306367801464
-63.000000000000	-6.1494348013114
-62.000000000000	-4.5439607449170
-61.000000000000	-3.6633693845164
-60.000000000000	-3.9778248763393
-59.000000000000	-5.5767006772891
-58.000000000000	-8.0604922665017
-57.000000000000	-8.8979701122576
-56.000000000000	-6.9316799641345
-55.000000000000	-5.2015499448436
-54.000000000000	-4.7119447396966
-53.000000000000	-5.4293061113736
-52.000000000000	-6.9305825113620
-51.000000000000	-7.7869124710213
-50.000000000000	-6.7721263029336
-49.000000000000	-5.3019460369605
-48.000000000000	-4.5715234254301
-47.000000000000	-4.7907778458722
-46.000000000000	-5.7636613034499
-45.000000000000	-6.8025970410809
-44.000000000000	-6.8665841254553
-43.000000000000	-6.0442905595980
-42.000000000000	-5.3391539057977
-41.000000000000	-5.2267033711846
-40.000000000000	-5.5696020940556
-39.000000000000	-5.7585517320371
-38.000000000000	-5.2215999034793
-37.000000000000	-4.2677922933136
-36.000000000000	-3.6104981301108
-35.000000000000	-3.6887872303486
-34.000000000000	-4.7420855582549
-33.000000000000	-7.0032377110416
-32.000000000000	-10.519115951099
-31.000000000000	-12.523389293106
-30.000000000000	-9.8500196451440
-29.000000000000	-7.2582934971879
-28.000000000000	-5.9495684935796
-27.000000000000	-5.6267937193085
-26.000000000000	-5.8138268708594
-25.000000000000	-5.8114587254213
-24.000000000000	-5.1063759386690
-23.000000000000	-3.9990609941557
-22.000000000000	-3.0856678811766
-21.000000000000	-2.6663974089482
-20.000000000000	-2.7539515696006
-19.000000000000	-3.1259900700401
-18.000000000000	-3.3411119545607
-17.000000000000	-3.0345573455114
-16.000000000000	-2.3570958083081
-15.000000000000	-1.7532911258306
-14.000000000000	-1.5189661121102
-13.000000000000	-1.7251443674758
-12.000000000000	-2.2618570554088
-11.000000000000	-2.8507275153503
-10.000000000000	-3.1480616819028
-9.0000000000000	-3.0353538187528
-8.0000000000000	-2.7229203946787
-7.0000000000000	-2.4806282100749
-6.0000000000000	-2.4410963887528
-5.0000000000000	-2.6139514858450
-4.0000000000000	-2.9568179628729
-3.0000000000000	-3.4354734455872
-2.0000000000000	-4.0475065852132
-1.0000000000000	-4.7918607442585
0.0000000000000	-5.6013498234372
1.0000000000000	-6.2777542351468
2.0000000000000	-6.5529086882903
3.0000000000000	-6.3421768431084
4.0000000000000	-5.8749958640549
5.0000000000000	-5.4803366801146
6.0000000000000	-5.3943313272430
7.0000000000000	-5.7340332392730
8.0000000000000	-6.4596202479670
9.0000000000000	-7.1629919868667
10.000000000000	-6.9479397037011
11.000000000000	-5.5327099715249
12.000000000000	-3.8284722163152
13.000000000000	-2.5997343568816
14.000000000000	-2.1570325166339
15.000000000000	-2.6781150705309
16.000000000000	-4.4125745781013
17.000000000000	-7.6993585197857
18.000000000000	-10.628279485587
19.000000000000	-7.1890065389405
20.000000000000	-3.3149400875286
21.000000000000	-0.94546850782978
22.000000000000	0.28215352039725
23.000000000000	0.62819486574350
24.000000000000	0.21623769599428
25.000000000000	-0.93287189089026
26.000000000000	-2.9164253261861
27.000000000000	-6.0605529605744
28.000000000000	-11.292179228407
29.000000000000	-18.675074245634
30.000000000000	-12.566685992871
31.000000000000	-7.8899357955905
32.000000000000	-5.4565053202893
33.000000000000	-4.2225609627335
34.000000000000	-3.7045815062632
35.000000000000	-3.4742692837799
36.000000000000	-2.9942782049218
37.000000000000	-1.8851989256832
38.000000000000	-0.34004797130574
39.000000000000	1.1614075408401
40.000000000000	2.2876436632004
41.000000000000	2.8866069643457
42.000000000000	2.8878429230258
43.000000000000	2.2425007152152
44.000000000000	0.89678471529106
45.000000000000	-1.2086228033912
46.000000000000	-4.0877095755618
47.000000000000	-7.5062490862522
48.000000000000	-10.696601382850
49.000000000000	-13.341992437939
