#Parameters = {tetrahedral=30; Wp=7.37499975; Ws=15; h=0.762; n=0.125; phi=0; theta=0}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (5) [Phase in Degrees]"
#-----------------------------------------------------------
8.4560000000000	2.6072531733526
8.4600000000000	2.4947226442283
8.4640000000000	2.3820344457168
8.4680000000000	2.2691875032367
8.4720000000000	2.1561807324602
8.4760000000000	2.0430130392035
8.4800000000000	1.9296833193153
8.4840000000000	1.8161904585631
8.4880000000000	1.7025333325194
8.4920000000000	1.5887108064449
8.4960000000000	1.4747217351714
8.5000000000000	1.3605649629820
8.5040000000000	1.2462393234903
8.5080000000000	1.1317436395177
8.5120000000000	1.0170767229690
8.5160000000000	0.90223737470702
8.5200000000000	0.78722438442384
8.5240000000000	0.67203653051217
8.5280000000000	0.55667257993349
8.5320000000000	0.44113128808504
8.5360000000000	0.32541139866519
8.5400000000000	0.20951164353589
8.5440000000000	0.093430742584389
8.5480000000000	-0.022832596417428
8.5520000000000	-0.13927967795621
8.5560000000000	-0.25591181892139
8.5600000000000	-0.37273034875219
8.5640000000000	-0.48973660958637
8.5680000000000	-0.60693195641111
8.5720000000000	-0.72431775721625
8.5760000000000	-0.84189539314941
8.5800000000000	-0.95966625867322
8.5840000000000	-1.0776317617256
8.5880000000000	-1.1957933238813
8.5920000000000	-1.3141523805165
8.5960000000000	-1.4327103809751
8.6000000000000	-1.5514687887384
8.6040000000000	-1.6704290815963
8.6080000000000	-1.7895927518211
8.6120000000000	-1.9089613063444
8.6160000000000	-2.0285362669364
8.6200000000000	-2.1483191703869
8.6240000000000	-2.2683115686907
8.6280000000000	-2.3885150292334
8.6320000000000	-2.5089311349826
8.6360000000000	-2.6295614846796
8.6400000000000	-2.7504076930354
8.6440000000000	-2.8714713909284
8.6480000000000	-2.9927542256067
8.6520000000000	-3.1142578608913
8.6560000000000	-3.2359839773845
8.6600000000000	-3.3579342726793
8.6640000000000	-3.4801104615738
8.6680000000000	-3.6025142762875
8.6720000000000	-3.7251474666817
8.6760000000000	-3.8480118004824
8.6800000000000	-3.9711090635075
8.6840000000000	-4.0944410598967
8.6880000000000	-4.2180096123452
8.6920000000000	-4.3418165623409
8.6960000000000	-4.4658637704052
8.7000000000000	-4.5901531163376
8.7040000000000	-4.7146864994641
8.7080000000000	-4.8394658388887
8.7120000000000	-4.9644930737498
8.7160000000000	-5.0897701634801
8.7200000000000	-5.2152990880705
8.7240000000000	-5.3410818483377
8.7280000000000	-5.4671204661969
8.7320000000000	-5.5934169849380
8.7360000000000	-5.7199734695063
8.7400000000000	-5.8467920067874
8.7440000000000	-5.9738747058975
8.7480000000000	-6.1012236984764
8.7520000000000	-6.2288411389877
8.7560000000000	-6.3567292050211
8.7600000000000	-6.4848900976013
8.7640000000000	-6.6133260415012
8.7680000000000	-6.7420392855600
8.7720000000000	-6.8710321030063
8.7760000000000	-7.0003067917872
8.7800000000000	-7.1298656749013
8.7840000000000	-7.2597111007381
8.7880000000000	-7.3898454434228
8.7920000000000	-7.5202711031659
8.7960000000000	-7.6509905066196
8.8000000000000	-7.7820061072391
8.8040000000000	-7.9133203856497
8.8080000000000	-8.0449358500212
8.8120000000000	-8.1768550364467
8.8160000000000	-8.3090805093288
8.8200000000000	-8.4416148617713
8.8240000000000	-8.5744607159788
8.8280000000000	-8.7076207236607
8.8320000000000	-8.8410975664442
8.8360000000000	-8.9748939562925
8.8400000000000	-9.1090126359306
8.8440000000000	-9.2434563792785
8.8480000000000	-9.3782279918911
8.8520000000000	-9.5133303114055
8.8560000000000	-9.6487662079966
8.8600000000000	-9.7845385848393
8.8640000000000	-9.9206503785796
8.8680000000000	-10.057104559812
8.8720000000000	-10.193904133569
8.8760000000000	-10.331052139812
8.8800000000000	-10.468551653936
8.8840000000000	-10.606405787287
